PUMFID,PROVINCE,REGION,G_URBRUR,GCAGEGR6,CSEX,G_CEDUC,G_CSTUD,G_CLFSST,GFAMTYPE,G_HHSIZE,G_HEDUC,G_HSTUD,EV_Q01,EV_Q02,PU_Q01,PU_Q02,PU_Q03,PU_Q06A,PU_Q06E,PU_Q06J,PU_Q06K,PU_G06
708,59,6,5,6,2,1,2,3,2,2,1,2,2,6,6,6,6,6,6,6,6,6
709,59,6,3,4,2,2,2,1,3,1,2,2,2,6,6,6,6,6,6,6,6,6
710,11,1,6,6,1,1,2,3,2,2,2,2,2,6,6,6,6,6,6,6,6,6
711,24,2,4,4,2,1,2,1,2,2,2,2,1,1,1,6,6,6,6,6,6,6
712,24,2,4,3,1,3,1,1,1,4,3,1,1,4,1,6,6,6,6,6,6,6
713,35,3,4,4,2,1,2,1,2,2,1,1,1,4,1,6,6,6,6,6,6,6
714,47,4,4,4,1,2,2,1,1,4,2,1,1,4,1,6,6,6,6,6,6,6
715,35,3,4,3,1,1,2,1,1,4,1,2,1,3,1,6,6,6,6,6,6,6
716,47,4,4,6,2,2,2,3,2,2,2,2,1,4,1,6,6,6,6,6,6,6
717,46,4,4,2,1,1,2,1,1,3,1,2,1,4,1,6,6,6,6,6,6,6
718,46,4,4,2,2,3,2,2,1,2,3,2,1,4,1,6,6,6,6,6,6,6
719,48,5,5,4,1,2,2,2,2,2,2,1,1,4,1,6,6,6,6,6,6,6
720,48,5,5,3,1,2,2,1,1,4,2,1,1,4,1,6,6,6,6,6,6,6
721,46,4,4,4,1,2,2,1,1,3,2,2,1,3,1,6,6,6,6,6,6,6
722,35,3,4,5,1,2,2,1,3,1,2,2,1,4,1,6,6,6,6,6,6,6
723,35,3,4,4,2,2,2,1,1,4,3,1,1,2,1,6,6,6,6,6,6,6
724,35,3,4,5,1,2,2,1,2,2,2,2,1,4,1,6,6,6,6,6,6,6
725,47,4,4,1,2,2,1,1,2,3,2,1,1,4,1,6,6,6,6,6,6,6
